,Unnamed: 0,Cliente,UF,Ano,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada,Contribuição do UF ao PIB Nacional (%),Proporção do Valor Setorial ao PIB do UF
0,0,DAMBROZ EMPREENDIMENTOS E ADMINISTRACAO LTDA,Rio Grande do Sul,2002,555255,555255.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0663944490885076,0.1359316368294903
1,1,COROL COOP AGROINDUSTRIAL,Paraná,2002,783125,783125.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
2,2,C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,Paraná,2002,643001,644789.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.0592668384680633,0.1522791897505448
3,3,"RENUKA VALE DO IVAI S,A, - EM RECUPERACAO JUDICIAL",Paraná,2002,1549400,1713850.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.1522791897505448
4,4,FRIMESA COOPERATIVA CENTRAL,Paraná,2002,2721825,3290906.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
5,5,"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,3098800,3123900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.0592668384680633,0.1522791897505448
6,6,AFFONSO DITZEL & CIA LTDA,Paraná,2002,417947,467033.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
7,7,"ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,",Paraná,2002,1211440,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"BANCO UNICO S,A,",0.0592668384680633,0.1522791897505448
8,8,"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,604460,778980.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.0592668384680633,0.1522791897505448
9,9,CASAGRANDE REVESTIMENTOS CERAMICOS S/A,Paraná,2002,453345,468585.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
10,10,BOTICA COMERCIAL FARMACEUTICA LTDA,Paraná,2002,986120,988047.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
11,11,"RENAULT DO BRASIL S,A",Paraná,2002,24975200,24991200.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
12,12,SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,923640,939360.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
13,13,COMPANHIA CACIQUE DE CAFE SOLUVEL,Paraná,2002,3113600,3123900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
14,14,WYNY DO BRASIL IND E COM DE COUROS LTDA,Paraná,2002,622720,605720.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
15,15,"VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA,",Paraná,2002,311360,302860.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
16,16,COROL COOP AGROINDUSTRIAL,Paraná,2002,2349375,2538225.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
17,17,LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,3132500,3137330.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
18,18,"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,1096375,1184505.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
19,19,IBEMA COMPANHIA BRASILEIRA DE PAPEL,Paraná,2002,1260480,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
20,20,COMPENSADOS FAUNA BRAZIL LTDA,Paraná,2002,518782,518782.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
21,21,ALLTIMBER INDUSTRIA DE MADEIRAS LTDA,Paraná,2002,411324,470736.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
22,22,PINEPLY COMPENSADOS LTDA,Paraná,2002,518782,518782.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
23,23,WAP DO BRASIL LTDA,Paraná,2002,198732,198732.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.0592668384680633,0.1522791897505448
24,24,CASAGRANDE REVESTIMENTOS CERAMICOS S/A,Paraná,2002,498600,548895.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
25,25,EVERTIS BRASIL PLASTICOS S/A,Paraná,2002,1354758,1674807.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
26,26,SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,780975,780975.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
27,27,APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,Paraná,2002,942510,908580.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
28,28,SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,780975,950375.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
29,29,"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,312390,351067.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.0592668384680633,0.1522791897505448
30,30,HUBNER INDUSTRIA MECANICA LTDA,Paraná,2002,624780,731860.0,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
31,31,C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,Paraná,2002,624780,624780.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
32,32,APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,Paraná,2002,939180,1086480.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
33,33,FAMOSSUL MADEIRAS S/A,Paraná,2002,1585327,1585327.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
34,34,"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,3178300,3725700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
35,35,WYNY DO BRASIL IND E COM DE COUROS LTDA,Paraná,2002,2930616,3488988.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
36,36,"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,1249560,1249560.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.0592668384680633,0.1522791897505448
37,37,COOPAVEL COOPERATIVA AGROINDUSTRIAL,Paraná,2002,3141700,3098800.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.0539185859130851
38,38,SOYCOMEX COMERCIAL E EXPORTADORA LTDA,Paraná,2002,24635200,31159200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
